uid,isFraud
10000_355.0,0
10001_348.0,0
10001_370.0,0
10002_182.0,1
10002_22.0,0
10002_224.0,0
10002_231.0,0
10002_248.0,0
10002_288.0,0
10002_295.0,0
10002_305.0,0
10002_333.0,0
10002_362.0,0
10002_368.0,0
10002_375.0,0
10002_382.0,0
10002_385.0,0
10002_388.0,0
10002_389.0,0
10004_306.0,0
10005_251.0,0
10005_320.0,0
10005_378.0,0
10005_383.0,0
10005_385.0,0
10006_350.0,0
10006_352.0,0
10006_366.0,0
10006_376.0,0
10006_382.0,0
10007_360.0,0
10007_362.0,0
10007_363.0,0
10007_391.0,0
10008_380.0,0
10009_252.0,0
10009_379.0,0
10009_392.0,0
1000_237.0,0
10010_314.0,0
10010_324.0,0
10010_353.0,0
10011_254.0,0
10011_359.0,0
10011_360.0,0
10011_379.0,0
10011_389.0,0
10011_394.0,0
10013_115.0,0
10014_272.0,0
10014_289.0,0
10014_295.0,0
10014_320.0,0
10014_368.0,0
10014_375.0,0
10014_377.0,0
10014_384.0,0
10014_385.0,0
10014_386.0,0
10014_390.0,0
10015_256.0,1
10015_314.0,0
10015_368.0,0
10015_383.0,0
10015_384.0,0
10015_390.0,0
10015_393.0,0
10016_-219.0,0
10016_162.0,0
10016_20.0,0
10016_230.0,0
10016_261.0,0
10016_320.0,0
10016_355.0,0
10016_371.0,0
10016_377.0,0
10016_379.0,0
10016_387.0,0
10016_393.0,0
10017_174.0,0
10019_-11.0,0
10019_340.0,0
10019_389.0,0
1001_385.0,0
10023_-27.0,0
10023_195.0,0
10024_126.0,0
10024_190.0,1
10024_214.0,0
10024_215.0,1
10024_217.0,1
10024_228.0,1
10024_284.0,1
10024_286.0,1
10024_303.0,0
10024_319.0,1
10024_323.0,1
10024_353.0,0
10024_360.0,1
10024_380.0,0
10024_388.0,0
10024_5.0,1
10026_318.0,1
10027_386.0,1
10028_-125.0,0
10029_316.0,0
1002_370.0,0
1002_380.0,0
1002_387.0,1
10032_46.0,0
10033_382.0,0
10034_383.0,0
10034_388.0,0
10035_230.0,0
10036_273.0,0
10036_364.0,0
1003_237.0,0
1003_376.0,0
10041_-231.0,0
10041_390.0,0
10043_337.0,0
10045_-28.0,0
10046_327.0,0
10046_374.0,0
10046_390.0,0
10047_390.0,0
10048_287.0,0
10049_342.0,0
10049_373.0,0
10049_384.0,0
1004_271.0,1
10050_111.0,0
10051_-134.0,0
10051_-311.0,0
10053_349.0,0
10054_-66.0,0
10054_347.0,0
10057_291.0,0
10058_17.0,0
10058_378.0,0
10059_316.0,0
10059_382.0,0
1005_349.0,0
10062_362.0,0
10064_332.0,0
10067_229.0,0
10068_-5.0,0
10068_347.0,0
10069_258.0,0
10071_-243.0,0
10071_-287.0,0
10071_-302.0,0
10071_-350.0,0
10071_-382.0,0
10071_226.0,0
10071_275.0,0
10071_296.0,0
10071_361.0,0
10071_394.0,0
10072_315.0,0
10072_388.0,0
10073_296.0,0
10075_205.0,0
10076_76.0,0
10077_242.0,0
10077_387.0,0
10078_311.0,0
10081_323.0,0
10082_326.0,1
10083_370.0,0
10084_324.0,0
10084_374.0,0
10086_257.0,0
10088_315.0,0
10090_263.0,0
10091_242.0,0
10092_386.0,0
10093_217.0,0
10093_229.0,0
10094_388.0,0
10095_391.0,0
10097_-68.0,0
10099_-106.0,0
10099_-125.0,0
10099_-146.0,0
10099_109.0,0
10099_124.0,0
10099_13.0,0
10099_139.0,0
10099_143.0,0
10099_216.0,0
10099_220.0,0
10099_223.0,0
10099_241.0,0
10099_251.0,0
10099_274.0,0
10099_304.0,0
10099_306.0,0
10099_308.0,0
10099_320.0,0
10099_340.0,0
10099_345.0,0
10099_352.0,0
10099_357.0,0
10099_361.0,0
10099_380.0,0
10099_84.0,0
1009_245.0,0
1009_298.0,0
1009_299.0,0
100_385.0,0
10101_291.0,0
10102_211.0,0
10102_230.0,0
10102_234.0,0
10102_239.0,0
10102_240.0,0
10102_241.0,0
10102_373.0,0
10104_246.0,0
10104_309.0,0
10106_223.0,0
10107_-69.0,0
10107_-83.0,0
10107_18.0,0
10107_195.0,1
10107_210.0,0
10107_225.0,0
10107_234.0,0
10107_245.0,0
10107_254.0,0
10107_257.0,0
10107_267.0,0
10107_283.0,0
10107_318.0,0
10107_368.0,0
10107_48.0,0
10109_70.0,0
10110_248.0,0
10110_256.0,0
10110_306.0,0
10110_312.0,0
10110_318.0,1
10110_341.0,0
10110_344.0,0
10110_355.0,0
10110_364.0,0
10110_371.0,0
10110_394.0,0
10113_291.0,0
10114_-60.0,0
10114_276.0,0
10114_347.0,0
10114_352.0,0
10114_369.0,0
10114_373.0,0
10114_389.0,0
10114_393.0,0
10115_381.0,0
10116_-190.0,0
10117_375.0,0
10119_-4.0,0
10120_390.0,0
10122_342.0,0
10123_-149.0,0
10123_164.0,0
10123_187.0,0
10123_218.0,0
10123_224.0,0
10123_235.0,0
10123_244.0,0
10123_250.0,0
10123_256.0,0
10123_275.0,0
10123_276.0,0
10123_307.0,0
10123_343.0,0
10123_367.0,0
10123_368.0,0
10125_315.0,0
10126_385.0,0
1012_347.0,0
1012_374.0,0
1012_382.0,0
10132_225.0,1
10132_385.0,0
10133_386.0,0
10134_328.0,0
10134_329.0,0
10135_245.0,0
10135_395.0,0
10137_342.0,0
10138_285.0,0
10139_225.0,0
10139_295.0,0
10140_214.0,0
10141_-393.0,0
10141_-417.0,0
10141_0.0,0
10142_-228.0,0
10142_-359.0,0
10142_246.0,1
10142_249.0,1
10142_256.0,1
10142_266.0,0
10142_275.0,1
10142_281.0,1
10142_290.0,0
10142_339.0,0
10142_362.0,1
10142_384.0,1
10143_245.0,0
10144_256.0,1
10146_-170.0,0
10146_234.0,0
10146_303.0,0
10146_326.0,0
10147_253.0,0
10148_319.0,0
10148_356.0,0
10149_348.0,0
1014_223.0,0
1014_244.0,0
1014_255.0,0
1014_297.0,0
1014_358.0,0
10150_280.0,0
10150_337.0,0
10152_307.0,0
10153_290.0,0
10153_314.0,0
10155_275.0,0
10155_292.0,0
10155_380.0,0
10155_389.0,0
10155_392.0,0
10156_294.0,0
10157_275.0,0
10157_367.0,0
10157_372.0,0
10158_315.0,1
10158_385.0,0
10159_270.0,0
1015_353.0,0
1015_384.0,0
10160_261.0,0
10161_257.0,0
10161_372.0,1
10162_194.0,0
10162_206.0,0
10162_208.0,0
10162_210.0,0
10162_215.0,0
10162_221.0,0
10162_225.0,0
10162_226.0,0
10162_232.0,0
10162_236.0,0
10162_238.0,0
10162_240.0,0
10162_241.0,0
10162_245.0,0
10162_247.0,0
10162_248.0,0
10162_253.0,0
10162_254.0,0
10162_255.0,0
10162_257.0,0
10162_264.0,0
10162_278.0,0
10162_279.0,1
10162_281.0,0
10162_283.0,0
10162_285.0,0
10162_286.0,0
10162_288.0,0
10162_290.0,0
10162_291.0,0
10162_292.0,0
10162_294.0,0
10162_295.0,1
10162_296.0,0
10162_297.0,0
10162_298.0,0
10162_302.0,0
10162_305.0,1
10162_311.0,0
10162_317.0,0
10162_320.0,1
10162_323.0,0
10162_325.0,1
10162_328.0,0
10162_336.0,1
10162_339.0,0
10162_340.0,0
10162_341.0,0
10162_351.0,0
10162_352.0,0
10162_353.0,0
10162_356.0,0
10162_359.0,0
10162_360.0,0
10162_365.0,0
10162_368.0,0
10162_371.0,0
10162_372.0,0
10162_374.0,0
10162_375.0,0
10162_377.0,0
10162_380.0,0
10162_381.0,0
10162_383.0,0
10162_385.0,0
10162_386.0,0
10162_387.0,0
10162_390.0,0
10163_310.0,0
10163_372.0,0
10163_390.0,0
10165_218.0,0
10167_271.0,0
10169_-77.0,0
10169_109.0,0
10169_110.0,0
